codigoProducto,cantidad,mes,sucursal
3,4.5,9,La Paz
21,2.5,9,Cochabamba
41,3.0,9,Santa Cruz
15,5.0,9,Oruro
30,1.5,9,Potosi
8,7.0,9,Chuquisaca
22,2.0,9,Tarija
44,3.5,9,Beni
13,4.0,9,Pando
36,2.5,10,La Paz
2,8.0,10,Cochabamba
19,3.0,10,Santa Cruz
45,1.0,10,Oruro
10,5.5,10,Potosi
28,2.0,10,Chuquisaca
51,1.5,10,Tarija
16,4.5,10,Beni
33,2.5,10,Pando
4,6.0,10,La Paz
24,3.5,10,Cochabamba
40,2.0,10,Santa Cruz
9,4.0,10,Oruro
31,1.5,10,Potosi
47,2.5,10,Chuquisaca
18,5.0,10,Tarija
37,3.0,10,Beni
1,2.0,10,Pando
23,4.5,11,La Paz
35,2.5,11,Cochabamba
49,1.0,11,Santa Cruz
14,3.0,11,Oruro
5,6.5,11,Potosi
26,2.0,11,Chuquisaca
42,3.5,11,Tarija
11,4.0,11,Beni
46,1.5,11,Pando
7,2.5,11,La Paz
20,5.5,11,Cochabamba
32,3.0,11,Santa Cruz
43,2.0,11,Oruro
12,4.5,11,Potosi
29,1.5,11,Chuquisaca
38,2.5,11,Tarija
17,6.0,11,Beni
50,1.0,11,Pando
3,4.0,12,La Paz
21,2.5,12,Cochabamba
41,3.0,12,Santa Cruz
15,5.0,12,Oruro
30,1.5,12,Potosi
8,6.5,12,Chuquisaca
22,2.0,12,Tarija
44,3.5,12,Beni
13,4.5,12,Pando
36,2.0,12,La Paz
2,7.0,12,Cochabamba
19,3.5,12,Santa Cruz
45,1.0,12,Oruro
10,5.5,12,Potosi
28,2.5,12,Chuquisaca
51,1.5,12,Tarija
16,4.0,12,Beni
33,2.0,12,Pando
4,6.0,12,La Paz
24,3.0,12,Cochabamba
40,2.5,12,Santa Cruz
9,4.0,12,Oruro
